"Year" "Geo" "Age" "Sex" "Pop"
2015 2000 "65" 2 43531
2015 2000 "70" 1 37473
2015 2000 "70" 2 43086
2015 2000 "75" 1 35252
2015 2000 "75" 2 45407
2015 2000 "80" 1 18162
2015 2000 "80" 2 28168
2015 2000 "85" 1 9303
2015 2000 "85" 2 18990
2015 2000 "90" 1 3740
2015 2000 "90" 2 12247
2015 3101 "60" 1 6539
2015 3101 "60" 2 7181
2015 3101 "65" 1 5707
2015 3101 "65" 2 6607
2015 3101 "70" 1 5622
2015 3101 "70" 2 6546
2015 3101 "75" 1 5549
2015 3101 "75" 2 7246
2015 3101 "80" 1 2889
2015 3101 "80" 2 4450
2015 3101 "85" 1 1595
2015 3101 "85" 2 3328
2015 3101 "90" 1 539
2015 3101 "90" 2 2080
2015 3102 "60" 1 3239
2015 3102 "60" 2 3446
2015 3102 "65" 1 2809
2015 3102 "65" 2 2968
2015 3102 "70" 1 2497
2015 3102 "70" 2 2874
2015 3102 "75" 1 2535
2015 3102 "75" 2 3210
2015 3102 "80" 1 1454
2015 3102 "80" 2 2153
2015 3102 "85" 1 672
2015 3102 "85" 2 1440
2015 3102 "90" 1 233
2015 3102 "90" 2 743
2015 3103 "60" 1 3578
2015 3103 "60" 2 3771
2015 3103 "65" 1 2883
2015 3103 "65" 2 3177
2015 3103 "70" 1 2810
2015 3103 "70" 2 3401
2015 3103 "75" 1 3171
2015 3103 "75" 2 4163
2015 3103 "80" 1 1870
2015 3103 "80" 2 2497
2015 3103 "85" 1 876
2015 3103 "85" 2 1604
2015 3103 "90" 1 284
2015 3103 "90" 2 802
2015 3151 "60" 1 5623
2015 3151 "60" 2 5557
2015 3151 "65" 1 4374
2015 3151 "65" 2 4398
2015 3151 "70" 1 3710
2015 3151 "70" 2 3979
2015 3151 "75" 1 3788
2015 3151 "75" 2 4335
2015 3151 "80" 1 1973
2015 3151 "80" 2 2795
2015 3151 "85" 1 997
2015 3151 "85" 2 1732
2015 3151 "90" 1 276
2015 3151 "90" 2 944
2015 3153 "60" 1 4737
2015 3153 "60" 2 4866
2015 3153 "65" 1 4262
2015 3153 "65" 2 4609
2015 3153 "70" 1 3885
2015 3153 "70" 2 4445
2015 3153 "75" 1 4168
2015 3153 "75" 2 5089
2015 3153 "80" 1 2143
2015 3153 "80" 2 3309
2015 3153 "85" 1 1137
2015 3153 "85" 2 2263
2015 3153 "90" 1 443
2015 3153 "90" 2 1454
2015 3154 "60" 1 3184
2015 3154 "60" 2 3156
2015 3154 "65" 1 2590
2015 3154 "65" 2 2696
2015 3154 "70" 1 2259
2015 3154 "70" 2 2360
2015 3154 "75" 1 2341
2015 3154 "75" 2 2845
2015 3154 "80" 1 1220
2015 3154 "80" 2 1920
2015 3154 "85" 1 664
2015 3154 "85" 2 1333
2015 3154 "90" 1 230
2015 3154 "90" 2 776
2015 3155 "60" 1 4761
2015 3155 "60" 2 4762
2015 3155 "65" 1 4224
2015 3155 "65" 2 3986
2015 3155 "70" 1 3235
2015 3155 "70" 2 3622
2015 3155 "75" 1 3645
2015 3155 "75" 2 4583
2015 3155 "80" 1 2090
2015 3155 "80" 2 3018
2015 3155 "85" 1 1058
2015 3155 "85" 2 2067
2015 3155 "90" 1 379
2015 3155 "90" 2 1240
2015 3157 "60" 1 4104
2015 3157 "60" 2 4238
2015 3157 "65" 1 3471
