"Date"	"Gender"	"geogcode"	"Age"	"value type"	"value"	"flag"
"2011"	"Male"	"E08000037"	"Aged 80-84"	"number"	2109	""
"2011"	"Male"	"E08000037"	"Age 85"	"number"	342	""
"2011"	"Male"	"E08000037"	"Age 86"	"number"	269	""
"2011"	"Male"	"E08000037"	"Age 87"	"number"	191	""
"2011"	"Male"	"E08000037"	"Age 88"	"number"	159	""
"2011"	"Male"	"E08000037"	"Age 89"	"number"	140	""
"2011"	"Male"	"E08000037"	"Aged 90+"	"number"	351	""
"2011"	"Male"	"E08000021"	"Aged 60-64"	"number"	7214	""
"2011"	"Male"	"E08000021"	"Aged 65-69"	"number"	5166	""
"2011"	"Male"	"E08000021"	"Aged 70-74"	"number"	4093	""
"2011"	"Male"	"E08000021"	"Aged 75-79"	"number"	3492	""
"2011"	"Male"	"E08000021"	"Aged 80-84"	"number"	2396	""
"2011"	"Male"	"E08000021"	"Age 85"	"number"	328	""
"2011"	"Male"	"E08000021"	"Age 86"	"number"	284	""
"2011"	"Male"	"E08000021"	"Age 87"	"number"	222	""
"2011"	"Male"	"E08000021"	"Age 88"	"number"	221	""
"2011"	"Male"	"E08000021"	"Age 89"	"number"	168	""
"2011"	"Male"	"E08000021"	"Aged 90+"	"number"	499	""
"2011"	"Male"	"E08000022"	"Aged 60-64"	"number"	6345	""
"2011"	"Male"	"E08000022"	"Aged 65-69"	"number"	4805	""
"2011"	"Male"	"E08000022"	"Aged 70-74"	"number"	3728	""
"2011"	"Male"	"E08000022"	"Aged 75-79"	"number"	3147	""
"2011"	"Male"	"E08000022"	"Aged 80-84"	"number"	2077	""
"2011"	"Male"	"E08000022"	"Age 85"	"number"	276	""
"2011"	"Male"	"E08000022"	"Age 86"	"number"	232	""
"2011"	"Male"	"E08000022"	"Age 87"	"number"	216	""
"2011"	"Male"	"E08000022"	"Age 88"	"number"	174	""
"2011"	"Male"	"E08000022"	"Age 89"	"number"	154	""
"2011"	"Male"	"E08000022"	"Aged 90+"	"number"	400	""
"2011"	"Male"	"E08000023"	"Aged 60-64"	"number"	4783	""
"2011"	"Male"	"E08000023"	"Aged 65-69"	"number"	3498	""
"2011"	"Male"	"E08000023"	"Aged 70-74"	"number"	2958	""
"2011"	"Male"	"E08000023"	"Aged 75-79"	"number"	2359	""
"2011"	"Male"	"E08000023"	"Aged 80-84"	"number"	1566	""
"2011"	"Male"	"E08000023"	"Age 85"	"number"	213	""
"2011"	"Male"	"E08000023"	"Age 86"	"number"	177	""
"2011"	"Male"	"E08000023"	"Age 87"	"number"	158	""
"2011"	"Male"	"E08000023"	"Age 88"	"number"	134	""
"2011"	"Male"	"E08000023"	"Age 89"	"number"	128	""
"2011"	"Male"	"E08000023"	"Aged 90+"	"number"	286	""
"2011"	"Male"	"E08000024"	"Aged 60-64"	"number"	8683	""
"2011"	"Male"	"E08000024"	"Aged 65-69"	"number"	6359	""
"2011"	"Male"	"E08000024"	"Aged 70-74"	"number"	5353	""
"2011"	"Male"	"E08000024"	"Aged 75-79"	"number"	4253	""
"2011"	"Male"	"E08000024"	"Aged 80-84"	"number"	2748	""
"2011"	"Male"	"E08000024"	"Age 85"	"number"	340	""
"2011"	"Male"	"E08000024"	"Age 86"	"number"	265	""
"2011"	"Male"	"E08000024"	"Age 87"	"number"	251	""
"2011"	"Male"	"E08000024"	"Age 88"	"number"	209	""
"2011"	"Male"	"E08000024"	"Age 89"	"number"	170	""
"2011"	"Male"	"E08000024"	"Aged 90+"	"number"	423	""
"2011"	"Male"	"E06000008"	"Aged 60-64"	"number"	4013	""
"2011"	"Male"	"E06000008"	"Aged 65-69"	"number"	2850	""
"2011"	"Male"	"E06000008"	"Aged 70-74"	"number"	2229	""
"2011"	"Male"	"E06000008"	"Aged 75-79"	"number"	1688	""
"2011"	"Male"	"E06000008"	"Aged 80-84"	"number"	1085	""
"2011"	"Male"	"E06000008"	"Age 85"	"number"	143	""
"2011"	"Male"	"E06000008"	"Age 86"	"number"	108	""
"2011"	"Male"	"E06000008"	"Age 87"	"number"	91	""
"2011"	"Male"	"E06000008"	"Age 88"	"number"	91	""
"2011"	"Male"	"E06000008"	"Age 89"	"number"	70	""
"2011"	"Male"	"E06000008"	"Aged 90+"	"number"	222	""
"2011"	"Male"	"E06000009"	"Aged 60-64"	"number"	4686	""
"2011"	"Male"	"E06000009"	"Aged 65-69"	"number"	3868	""
"2011"	"Male"	"E06000009"	"Aged 70-74"	"number"	3103	""
"2011"	"Male"	"E06000009"	"Aged 75-79"	"number"	2325	""
"2011"	"Male"	"E06000009"	"Aged 80-84"	"number"	1569	""
"2011"	"Male"	"E06000009"	"Age 85"	"number"	238	""
"2011"	"Male"	"E06000009"	"Age 86"	"number"	185	""
"2011"	"Male"	"E06000009"	"Age 87"	"number"	143	""
"2011"	"Male"	"E06000009"	"Age 88"	"number"	126	""
"2011"	"Male"	"E06000009"	"Age 89"	"number"	124	""
"2011"	"Male"	"E06000009"	"Aged 90+"	"number"	350	""
"2011"	"Male"	"E06000049"	"Aged 60-64"	"number"	12992	""
"2011"	"Male"	"E06000049"	"Aged 65-69"	"number"	10558	""
"2011"	"Male"	"E06000049"	"Aged 70-74"	"number"	8079	""
"2011"	"Male"	"E06000049"	"Aged 75-79"	"number"	6211	""
"2011"	"Male"	"E06000049"	"Aged 80-84"	"number"	4282	""
"2011"	"Male"	"E06000049"	"Age 85"	"number"	619	""
"2011"	"Male"	"E06000049"	"Age 86"	"number"	494	""
"2011"	"Male"	"E06000049"	"Age 87"	"number"	460	""
"2011"	"Male"	"E06000049"	"Age 88"	"number"	402	""
"2011"	"Male"	"E06000049"	"Age 89"	"number"	337	""
"2011"	"Male"	"E06000049"	"Aged 90+"	"number"	916	""
"2011"	"Male"	"E06000050"	"Aged 60-64"	"number"	11227	""
"2011"	"Male"	"E06000050"	"Aged 65-69"	"number"	8963	""
"2011"	"Male"	"E06000050"	"Aged 70-74"	"number"	7056	""
"2011"	"Male"	"E06000050"	"Aged 75-79"	"number"	5283	""
"2011"	"Male"	"E06000050"	"Aged 80-84"	"number"	3732	""
"2011"	"Male"	"E06000050"	"Age 85"	"number"	511	""
"2011"	"Male"	"E06000050"	"Age 86"	"number"	418	""
"2011"	"Male"	"E06000050"	"Age 87"	"number"	351	""
"2011"	"Male"	"E06000050"	"Age 88"	"number"	315	""
"2011"	"Male"	"E06000050"	"Age 89"	"number"	257	""
"2011"	"Male"	"E06000050"	"Aged 90+"	"number"	753	""
"2011"	"Male"	"E06000006"	"Aged 60-64"	"number"	4312	""
"2011"	"Male"	"E06000006"	"Aged 65-69"	"number"	2895	""
"2011"	"Male"	"E06000006"	"Aged 70-74"	"number"	2161	""
"2011"	"Male"	"E06000006"	"Aged 75-79"	"number"	1574	""
"2011"	"Male"	"E06000006"	"Aged 80-84"	"number"	1088	""
"2011"	"Male"	"E06000006"	"Age 85"	"number"	133	""
"2011"	"Male"	"E06000006"	"Age 86"	"number"	111	""
"2011"	"Male"	"E06000006"	"Age 87"	"number"	87	""
"2011"	"Male"	"E06000006"	"Age 88"	"number"	86	""
"2011"	"Male"	"E06000006"	"Age 89"	"number"	64	""
"2011"	"Male"	"E06000006"	"Aged 90+"	"number"	156	""
"2011"	"Male"	"E06000007"	"Aged 60-64"	"number"	6101	""
"2011"	"Male"	"E06000007"	"Aged 65-69"	"number"	4876	""
"2011"	"Male"	"E06000007"	"Aged 70-74"	"number"	3883	""
"2011"	"Male"	"E06000007"	"Aged 75-79"	"number"	2841	""
"2011"	"Male"	"E06000007"	"Aged 80-84"	"number"	1730	""
"2011"	"Male"	"E06000007"	"Age 85"	"number"	239	""
"2011"	"Male"	"E06000007"	"Age 86"	"number"	214	""
"2011"	"Male"	"E06000007"	"Age 87"	"number"	177	""
"2011"	"Male"	"E06000007"	"Age 88"	"number"	128	""
"2011"	"Male"	"E06000007"	"Age 89"	"number"	111	""
"2011"	"Male"	"E06000007"	"Aged 90+"	"number"	301	""
"2011"	"Male"	"E07000026"	"Aged 60-64"	"number"	3768	""
"2011"	"Male"	"E07000026"	"Aged 65-69"	"number"	3020	""
"2011"	"Male"	"E07000026"	"Aged 70-74"	"number"	2412	""
"2011"	"Male"	"E07000026"	"Aged 75-79"	"number"	1794	""
"2011"	"Male"	"E07000026"	"Aged 80-84"	"number"	1123	""
"2011"	"Male"	"E07000026"	"Age 85"	"number"	161	""
"2011"	"Male"	"E07000026"	"Age 86"	"number"	129	""
"2011"	"Male"	"E07000026"	"Age 87"	"number"	121	""
"2011"	"Male"	"E07000026"	"Age 88"	"number"	103	""
"2011"	"Male"	"E07000026"	"Age 89"	"number"	65	""
"2011"	"Male"	"E07000026"	"Aged 90+"	"number"	236	""
"2011"	"Male"	"E07000027"	"Aged 60-64"	"number"	2396	""
"2011"	"Male"	"E07000027"	"Aged 65-69"	"number"	2026	""
"2011"	"Male"	"E07000027"	"Aged 70-74"	"number"	1583	""
"2011"	"Male"	"E07000027"	"Aged 75-79"	"number"	1104	""
"2011"	"Male"	"E07000027"	"Aged 80-84"	"number"	699	""
"2011"	"Male"	"E07000027"	"Age 85"	"number"	104	""
"2011"	"Male"	"E07000027"	"Age 86"	"number"	82	""
"2011"	"Male"	"E07000027"	"Age 87"	"number"	62	""
"2011"	"Male"	"E07000027"	"Age 88"	"number"	53	""
"2011"	"Male"	"E07000027"	"Age 89"	"number"	39	""
"2011"	"Male"	"E07000027"	"Aged 90+"	"number"	165	""
"2011"	"Male"	"E07000028"	"Aged 60-64"	"number"	3579	""
"2011"	"Male"	"E07000028"	"Aged 65-69"	"number"	2811	""
"2011"	"Male"	"E07000028"	"Aged 70-74"	"number"	2235	""
"2011"	"Male"	"E07000028"	"Aged 75-79"	"number"	1761	""
"2011"	"Male"	"E07000028"	"Aged 80-84"	"number"	1170	""
"2011"	"Male"	"E07000028"	"Age 85"	"number"	174	""
"2011"	"Male"	"E07000028"	"Age 86"	"number"	137	""
"2011"	"Male"	"E07000028"	"Age 87"	"number"	114	""
"2011"	"Male"	"E07000028"	"Age 88"	"number"	103	""
"2011"	"Male"	"E07000028"	"Age 89"	"number"	106	""
"2011"	"Male"	"E07000028"	"Aged 90+"	"number"	269	""
"2011"	"Male"	"E07000029"	"Aged 60-64"	"number"	2691	""
"2011"	"Male"	"E07000029"	"Aged 65-69"	"number"	2073	""
"2011"	"Male"	"E07000029"	"Aged 70-74"	"number"	1660	""
"2011"	"Male"	"E07000029"	"Aged 75-79"	"number"	1229	""
"2011"	"Male"	"E07000029"	"Aged 80-84"	"number"	777	""
"2011"	"Male"	"E07000029"	"Age 85"	"number"	87	""
"2011"	"Male"	"E07000029"	"Age 86"	"number"	89	""
"2011"	"Male"	"E07000029"	"Age 87"	"number"	70	""
"2011"	"Male"	"E07000029"	"Age 88"	"number"	65	""
"2011"	"Male"	"E07000029"	"Age 89"	"number"	45	""
"2011"	"Male"	"E07000029"	"Aged 90+"	"number"	129	""
"2011"	"Male"	"E07000030"	"Aged 60-64"	"number"	2185	""
"2011"	"Male"	"E07000030"	"Aged 65-69"	"number"	1788	""
"2011"	"Male"	"E07000030"	"Aged 70-74"	"number"	1349	""
"2011"	"Male"	"E07000030"	"Aged 75-79"	"number"	1037	""
"2011"	"Male"	"E07000030"	"Aged 80-84"	"number"	669	""
"2011"	"Male"	"E07000030"	"Age 85"	"number"	103	""
"2011"	"Male"	"E07000030"	"Age 86"	"number"	68	""
"2011"	"Male"	"E07000030"	"Age 87"	"number"	66	""
"2011"	"Male"	"E07000030"	"Age 88"	"number"	49	""
"2011"	"Male"	"E07000030"	"Age 89"	"number"	70	""
"2011"	"Male"	"E07000030"	"Aged 90+"	"number"	125	""
"2011"	"Male"	"E07000031"	"Aged 60-64"	"number"	4319	""
"2011"	"Male"	"E07000031"	"Aged 65-69"	"number"	3700	""
"2011"	"Male"	"E07000031"	"Aged 70-74"	"number"	2864	""
"2011"	"Male"	"E07000031"	"Aged 75-79"	"number"	2125	""
"2011"	"Male"	"E07000031"	"Aged 80-84"	"number"	1583	""
"2011"	"Male"	"E07000031"	"Age 85"	"number"	223	""
"2011"	"Male"	"E07000031"	"Age 86"	"number"	182	""
"2011"	"Male"	"E07000031"	"Age 87"	"number"	150	""
"2011"	"Male"	"E07000031"	"Age 88"	"number"	145	""
"2011"	"Male"	"E07000031"	"Age 89"	"number"	115	""
"2011"	"Male"	"E07000031"	"Aged 90+"	"number"	353	""
"2011"	"Male"	"E08000001"	"Aged 60-64"	"number"	8335	""
"2011"	"Male"	"E08000001"	"Aged 65-69"	"number"	6555	""
"2011"	"Male"	"E08000001"	"Aged 70-74"	"number"	5091	""
"2011"	"Male"	"E08000001"	"Aged 75-79"	"number"	3590	""
"2011"	"Male"	"E08000001"	"Aged 80-84"	"number"	2313	""
"2011"	"Male"	"E08000001"	"Age 85"	"number"	366	""
"2011"	"Male"	"E08000001"	"Age 86"	"number"	313	""
"2011"	"Male"	"E08000001"	"Age 87"	"number"	245	""
"2011"	"Male"	"E08000001"	"Age 88"	"number"	220	""
"2011"	"Male"	"E08000001"	"Age 89"	"number"	173	""
"2011"	"Male"	"E08000001"	"Aged 90+"	"number"	468	""
"2011"	"Male"	"E08000002"	"Aged 60-64"	"number"	5780	""
"2011"	"Male"	"E08000002"	"Aged 65-69"	"number"	4459	""
"2011"	"Male"	"E08000002"	"Aged 70-74"	"number"	3372	""
"2011"	"Male"	"E08000002"	"Aged 75-79"	"number"	2524	""
"2011"	"Male"	"E08000002"	"Aged 80-84"	"number"	1614	""
"2011"	"Male"	"E08000002"	"Age 85"	"number"	234	""
"2011"	"Male"	"E08000002"	"Age 86"	"number"	221	""
"2011"	"Male"	"E08000002"	"Age 87"	"number"	172	""
"2011"	"Male"	"E08000002"	"Age 88"	"number"	137	""
"2011"	"Male"	"E08000002"	"Age 89"	"number"	132	""
"2011"	"Male"	"E08000002"	"Aged 90+"	"number"	316	""
"2011"	"Male"	"E08000003"	"Aged 60-64"	"number"	9402	""
"2011"	"Male"	"E08000003"	"Aged 65-69"	"number"	6327	""
"2011"	"Male"	"E08000003"	"Aged 70-74"	"number"	5216	""
"2011"	"Male"	"E08000003"	"Aged 75-79"	"number"	4080	""
"2011"	"Male"	"E08000003"	"Aged 80-84"	"number"	2678	""
"2011"	"Male"	"E08000003"	"Age 85"	"number"	400	""
"2011"	"Male"	"E08000003"	"Age 86"	"number"	351	""
"2011"	"Male"	"E08000003"	"Age 87"	"number"	306	""
"2011"	"Male"	"E08000003"	"Age 88"	"number"	217	""
"2011"	"Male"	"E08000003"	"Age 89"	"number"	207	""
"2011"	"Male"	"E08000003"	"Aged 90+"	"number"	565	""
"2011"	"Male"	"E08000004"	"Aged 60-64"	"number"	6243	""
"2011"	"Male"	"E08000004"	"Aged 65-69"	"number"	4808	""
"2011"	"Male"	"E08000004"	"Aged 70-74"	"number"	3913	""
"2011"	"Male"	"E08000004"	"Aged 75-79"	"number"	2668	""
"2011"	"Male"	"E08000004"	"Aged 80-84"	"number"	1721	""
"2011"	"Male"	"E08000004"	"Age 85"	"number"	279	""
"2011"	"Male"	"E08000004"	"Age 86"	"number"	193	""
"2011"	"Male"	"E08000004"	"Age 87"	"number"	194	""
"2011"	"Male"	"E08000004"	"Age 88"	"number"	157	""
"2011"	"Male"	"E08000004"	"Age 89"	"number"	131	""
"2011"	"Male"	"E08000004"	"Aged 90+"	"number"	362	""
"2011"	"Male"	"E08000005"	"Aged 60-64"	"number"	6219	""
"2011"	"Male"	"E08000005"	"Aged 65-69"	"number"	4543	""
"2011"	"Male"	"E08000005"	"Aged 70-74"	"number"	3518	""
"2011"	"Male"	"E08000005"	"Aged 75-79"	"number"	2560	""
"2011"	"Male"	"E08000005"	"Aged 80-84"	"number"	1767	""
"2011"	"Male"	"E08000005"	"Age 85"	"number"	262	""
"2011"	"Male"	"E08000005"	"Age 86"	"number"	227	""
"2011"	"Male"	"E08000005"	"Age 87"	"number"	197	""
"2011"	"Male"	"E08000005"	"Age 88"	"number"	144	""
